"startYear","endYear","genderConceptId","startAge","endAge","population","country","location"
2001,2001,8532,2,2,300276,"KOR","KOR"
2002,2002,8507,2,2,328964,"KOR","KOR"
2002,2002,8532,2,2,299974,"KOR","KOR"
2003,2003,8507,2,2,312557,"KOR","KOR"
2003,2003,8532,2,2,285769,"KOR","KOR"
2004,2004,8507,2,2,274388,"KOR","KOR"
2004,2004,8532,2,2,251221,"KOR","KOR"
2005,2005,8507,2,2,256751,"KOR","KOR"
2005,2005,8532,2,2,235691,"KOR","KOR"
2006,2006,8507,2,2,250229,"KOR","KOR"
2006,2006,8532,2,2,231635,"KOR","KOR"
2007,2007,8507,2,2,234840,"KOR","KOR"
2007,2007,8532,2,2,218118,"KOR","KOR"
2008,2008,8507,2,2,227979,"KOR","KOR"
2008,2008,8532,2,2,212437,"KOR","KOR"
2009,2009,8507,2,2,242238,"KOR","KOR"
2009,2009,8532,2,2,227445,"KOR","KOR"
2010,2010,8507,2,2,246454,"KOR","KOR"
2010,2010,8532,2,2,232503,"KOR","KOR"
2011,2011,8507,2,2,234493,"KOR","KOR"
2011,2011,8532,2,2,220894,"KOR","KOR"
2012,2012,8507,2,2,236101,"KOR","KOR"
2012,2012,8532,2,2,221981,"KOR","KOR"
2013,2013,8507,2,2,243089,"KOR","KOR"
2013,2013,8532,2,2,229308,"KOR","KOR"
2014,2014,8507,2,2,246913,"KOR","KOR"
2014,2014,8532,2,2,234041,"KOR","KOR"
2015,2015,8507,2,2,237970,"KOR","KOR"
2015,2015,8532,2,2,225928,"KOR","KOR"
2016,2016,8507,2,2,225257,"KOR","KOR"
2016,2016,8532,2,2,214225,"KOR","KOR"
2017,2017,8507,2,2,226028,"KOR","KOR"
2017,2017,8532,2,2,214940,"KOR","KOR"
2018,2018,8507,2,2,218699,"KOR","KOR"
2018,2018,8532,2,2,208285,"KOR","KOR"
1993,1993,8507,3,3,338668,"KOR","KOR"
1993,1993,8532,3,3,298619,"KOR","KOR"
1994,1994,8507,3,3,358294,"KOR","KOR"
1994,1994,8532,3,3,315152,"KOR","KOR"
1995,1995,8507,3,3,379214,"KOR","KOR"
1995,1995,8532,3,3,336866,"KOR","KOR"
1996,1996,8507,3,3,383797,"KOR","KOR"
1996,1996,8532,3,3,336173,"KOR","KOR"
1997,1997,8507,3,3,382116,"KOR","KOR"
1997,1997,8532,3,3,332183,"KOR","KOR"
1998,1998,8507,3,3,379691,"KOR","KOR"
1998,1998,8532,3,3,333030,"KOR","KOR"
1999,1999,8507,3,3,369322,"KOR","KOR"
1999,1999,8532,3,3,328904,"KOR","KOR"
2000,2000,8507,3,3,356104,"KOR","KOR"
2000,2000,8532,3,3,324225,"KOR","KOR"
2001,2001,8507,3,3,342846,"KOR","KOR"
2001,2001,8532,3,3,314307,"KOR","KOR"
2002,2002,8507,3,3,329723,"KOR","KOR"
2002,2002,8532,3,3,300507,"KOR","KOR"
2003,2003,8507,3,3,328988,"KOR","KOR"
2003,2003,8532,3,3,300126,"KOR","KOR"
2004,2004,8507,3,3,312625,"KOR","KOR"
2004,2004,8532,3,3,285893,"KOR","KOR"
2005,2005,8507,3,3,274630,"KOR","KOR"
2005,2005,8532,3,3,251557,"KOR","KOR"
2006,2006,8507,3,3,257025,"KOR","KOR"
2006,2006,8532,3,3,236099,"KOR","KOR"
2007,2007,8507,3,3,250513,"KOR","KOR"
2007,2007,8532,3,3,232010,"KOR","KOR"
2008,2008,8507,3,3,235056,"KOR","KOR"
2008,2008,8532,3,3,218413,"KOR","KOR"
2009,2009,8507,3,3,228182,"KOR","KOR"
2009,2009,8532,3,3,212695,"KOR","KOR"
