year,gender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80+,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
2013,female,215502 ,233221 ,229308 ,222424 ,221730 ,233571 ,228523 ,213352 ,218953 ,232449 ,236528 ,251973 ,286256 ,300263 ,300244 ,313559 ,323237 ,327920 ,331890 ,330816 ,334711 ,335246 ,313679 ,297702 ,297038 ,296406 ,298107 ,306199 ,316814 ,341356 ,381641 ,404165 ,407811 ,407422 ,377001 ,365876 ,377531 ,379499 ,402946 ,429330 ,437249 ,445341 ,452329 ,450298 ,455262 ,443995 ,408624 ,402822 ,412975 ,394967 ,405375 ,440176 ,456580 ,442381 ,404214 ,382795 ,364561 ,357005 ,336321 ,287683 ,283399 ,257610 ,225152 ,234468 ,235711 ,238063 ,216248 ,182788 ,182466 ,192654 ,217478 ,220530 ,190698 ,184537 ,180038 ,166494 ,157455 ,151464 ,141736 ,125517 ,788384 ,113200 ,100939 ,90143 ,83083 ,73671 ,64134 ,52221 ,42446 ,34889 ,30721 ,27777 ,20978 ,15007 ,10967 ,7965 ,6094 ,4524 ,3100 ,2170 ,1495 ,2866 
2014,male,215720 ,237425 ,246913 ,243527 ,236892 ,235554 ,247758 ,243462 ,228972 ,235645 ,250884 ,257234 ,274714 ,312558 ,328574 ,328780 ,341126 ,353933 ,367081 ,376884 ,378587 ,379874 ,374934 ,353555 ,333742 ,327239 ,320977 ,320155 ,329673 ,336284 ,359540 ,399281 ,422735 ,426540 ,420517 ,393669 ,380742 ,389060 ,392418 ,416425 ,441279 ,451258 ,467356 ,471565 ,464033 ,463223 ,443450 ,424129 ,424976 ,423216 ,411781 ,425252 ,451493 ,456334 ,439830 ,406359 ,387886 ,365660 ,348410 ,327934 ,281506 ,272036 ,246648 ,214422 ,221614 ,221466 ,219704 ,196667 ,163951 ,156257 ,158644 ,176193 ,174665 ,144893 ,135003 ,127238 ,113080 ,101828 ,92488 ,81402 ,359794 ,67593 ,56604 ,46242 ,36884 ,32136 ,27328 ,21808 ,16723 ,12627 ,10249 ,8836 ,7265 ,5012 ,3424 ,2492 ,1632 ,1054 ,679 ,408 ,261 ,542 
2014,female,204915 ,225234 ,234041 ,229783 ,222796 ,221967 ,233778 ,228653 ,213422 ,219021 ,232466 ,236528 ,252000 ,286235 ,300253 ,300222 ,313506 ,323121 ,327898 ,331830 ,330781 ,334669 ,335387 ,314041 ,298218 ,297554 ,296979 ,298664 ,306673 ,317205 ,341663 ,381870 ,404384 ,407947 ,407500 ,377084 ,365894 ,377525 ,379409 ,402919 ,429178 ,437107 ,445239 ,452197 ,450183 ,455002 ,443787 ,408374 ,402610 ,412725 ,394651 ,405095 ,439759 ,456121 ,441867 ,403729 ,382262 ,364004 ,356422 ,335739 ,287095 ,282765 ,256896 ,224462 ,233721 ,235003 ,237265 ,215310 ,181822 ,181339 ,191225 ,215658 ,218279 ,188500 ,182029 ,177199 ,163535 ,154153 ,147720 ,137692 ,846936 ,121303 ,108808 ,96522 ,85466 ,78121 ,68760 ,59278 ,47733 ,38240 ,30947 ,26846 ,23947 ,17802 ,12484 ,8954 ,6360 ,4763 ,3480 ,2355 ,1620 ,3151 
2015,male,216519 ,224731 ,237970 ,247249 ,243794 ,237070 ,235706 ,247831 ,243517 ,228995 ,235649 ,250855 ,257211 ,274649 ,312471 ,328489 ,328632 ,340865 ,353596 ,366774 ,376554 ,378321 ,379623 ,374638 ,353235 ,333450 ,326964 ,320724 ,319892 ,329396 ,336049 ,359287 ,398983 ,422357 ,426200 ,420184 ,393291 ,380319 ,388640 ,391965 ,415921 ,440815 ,450709 ,466668 ,470711 ,463210 ,462237 ,442276 ,423023 ,423758 ,421786 ,410441 ,423662 ,449725 ,454282 ,437644 ,404298 ,385792 ,363455 ,346170 ,325756 ,279367 ,269792 ,244438 ,212334 ,219434 ,219058 ,217011 ,193955 ,161432 ,153575 ,155463 ,172189 ,170057 ,140703 ,130451 ,122510 ,108307 ,97062 ,87506 ,398449 ,76479 ,63065 ,52372 ,42389 ,33502 ,28799 ,24213 ,19039 ,14320 ,10651 ,8527 ,7301 ,5884 ,4018 ,2672 ,1915 ,1228 ,760 ,477 ,281 ,562 
2015,female,205664 ,213600 ,225928 ,234417 ,230106 ,222995 ,222115 ,233878 ,228726 ,213480 ,219036 ,232457 ,236546 ,251989 ,286209 ,300222 ,300166 ,313386 ,323060 ,327827 ,331737 ,330719 ,334709 ,335569 ,314338 ,298556 ,297915 ,297349 ,299015 ,306982 ,317416 ,341846 ,381982 ,404444 ,407950 ,407501 ,377002 ,365811 ,377389 ,379296 ,402752 ,428965 ,436912 ,444989 ,451955 ,449881 ,454722 ,443440 ,408073 ,402301 ,412376 ,394362 ,404777 ,439274 ,455557 ,441292 ,403117 ,381608 ,363400 ,355769 ,335067 ,286440 ,281987 ,256146 ,223814 ,233051 ,234222 ,236284 ,214250 ,180783 ,180099 ,189705 ,213577 ,215915 ,186067 ,179242 ,174166 ,160229 ,150467 ,143684 ,913631 ,133303 ,116776 ,104164 ,91694 ,80495 ,72989 ,63629 ,54308 ,43083 ,34052 ,27081 ,23115 ,20362 ,14789 ,10199 ,7167 ,4987 ,3651 ,2601 ,1741 ,3451 
2016,male,209649 ,225501 ,225257 ,238218 ,247434 ,243918 ,237167 ,235732 ,247874 ,243516 ,229003 ,235636 ,250834 ,257131 ,274573 ,312374 ,328318 ,328383 ,340495 ,353247 ,366386 ,376282 ,378030 ,379267 ,374216 ,352833 ,333099 ,326649 ,320383 ,319589 ,329149 ,335770 ,358966 ,398565 ,421905 ,425724 ,419692 ,392771 ,379831 ,388115 ,391378 ,415360 ,440201 ,449958 ,465793 ,469826 ,462189 ,461018 ,441095 ,421773 ,422330 ,420300 ,408955 ,421946 ,447780 ,452022 ,435468 ,402140 ,383498 ,361152 ,343932 ,323291 ,277070 ,267485 ,242126 ,210257 ,217068 ,216391 ,214106 ,191056 ,158754 ,150622 ,152155 ,167848 ,165313 ,136226 ,125801 ,117527 ,103313 ,92005 ,439823 ,82389 ,71466 ,58439 ,48100 ,38659 ,30034 ,25625 ,21255 ,16407 ,12114 ,8828 ,6947 ,5904 ,4683 ,3129 ,2056 ,1448 ,903 ,530 ,327 ,584 
2016,female,199449 ,214288 ,214225 ,226238 ,234664 ,230241 ,223109 ,222192 ,233921 ,228768 ,213492 ,219040 ,232472 ,236532 ,251949 ,286183 ,300180 ,300075 ,313316 ,322984 ,327674 ,331648 ,330660 ,334766 ,335757 ,314649 ,298903 ,298211 ,297666 ,299288 ,307225 ,317599 ,341935 ,382033 ,404405 ,407917 ,407357 ,376875 ,365669 ,377208 ,379094 ,402500 ,428699 ,436610 ,444617 ,451579 ,449530 ,454298 ,443006 ,407709 ,401933 ,411961 ,393980 ,404319 ,438657 ,454916 ,440606 ,402386 ,380928 ,362651 ,355050 ,334245 ,285646 ,281189 ,255402 ,223124 ,232341 ,233284 ,235149 ,213059 ,179574 ,178692 ,187956 ,211358 ,213258 ,183308 ,176214 ,170768 ,156513 ,146440 ,981867 ,139280 ,128495 ,111906 ,99122 ,86531 ,75353 ,67546 ,58266 ,49092 ,38442 ,29837 ,23244 ,19611 ,16978 ,12090 ,8180 ,5639 ,3825 ,2755 ,1917 ,3764 
2017,male,189830 ,218134 ,226028 ,225426 ,238356 ,247529 ,244012 ,237194 ,235772 ,247880 ,243522 ,229015 ,235616 ,250765 ,257027 ,274449 ,312162 ,328012 ,327990 ,340067 ,352826 ,366081 ,375962 ,377611 ,378818 ,373705 ,352435 ,332759 ,326310 ,320144 ,319371 ,328946 ,335525 ,358637 ,398214 ,421498 ,425217 ,419210 ,392325 ,379324 ,387571 ,390947 ,414794 ,439464 ,449267 ,464913 ,468882 ,461081 ,459947 ,439953 ,420566 ,420913 ,418871 ,407361 ,420341 ,445857 ,449852 ,433344 ,399833 ,381238 ,358925 ,341489 ,320773 ,274877 ,265116 ,239990 ,208120 ,214476 ,213642 ,211072 ,188004 ,155879 ,147657 ,148673 ,163387 ,160310 ,131553 ,120882 ,112386 ,98188 ,482675 ,86858 ,77154 ,66397 ,53799 ,43902 ,34803 ,26805 ,22564 ,18459 ,13967 ,10122 ,7207 ,5586 ,4696 ,3681 ,2414 ,1555 ,1083 ,647 ,374 ,607 
2017,female,179881 ,207571 ,214940 ,214531 ,226437 ,234769 ,230356 ,223178 ,222207 ,233975 ,228795 ,213509 ,219040 ,232450 ,236483 ,251923 ,286127 ,300092 ,300050 ,313237 ,322806 ,327566 ,331585 ,330697 ,335009 ,336053 ,315019 ,299318 ,298536 ,297995 ,299607 ,307443 ,317795 ,342019 ,381991 ,404345 ,407790 ,407214 ,376703 ,365476 ,376965 ,378842 ,402267 ,428369 ,436212 ,444244 ,451218 ,449102 ,453856 ,442605 ,407275 ,401474 ,411484 ,393546 ,403846 ,438056 ,454250 ,439824 ,401662 ,380214 ,361935 ,354229 ,333389 ,284873 ,280401 ,254687 ,222517 ,231486 ,232218 ,233892 ,211734 ,178270 ,177149 ,186149 ,208883 ,210268 ,180377 ,172940 ,166974 ,152558 ,1049214 ,142166 ,134474 ,123332 ,106668 ,93737 ,81125 ,69949 ,61979 ,52798 ,43941 ,33765 ,25710 ,19784 ,16364 ,13946 ,9714 ,6433 ,4348 ,2904 ,2030 ,4050 
2018,male,170538 ,197983 ,218699 ,226222 ,225582 ,238428 ,247612 ,244003 ,237215 ,235775 ,247842 ,243502 ,228978 ,235527 ,250612 ,256832 ,274174 ,311721 ,327455 ,327533 ,339679 ,352471 ,365733 ,375544 ,377164 ,378273 ,373332 ,352078 ,332406 ,326030 ,319900 ,319214 ,328671 ,335205 ,358331 ,397866 ,421038 ,424788 ,418742 ,391759 ,378821 ,387173 ,390449 ,414163 ,438831 ,448440 ,463991 ,467796 ,460081 ,458807 ,438760 ,419302 ,419550 ,417426 ,405920 ,418670 ,443839 ,447680 ,431028 ,397605 ,378943 ,356626 ,339013 ,318311 ,272512 ,262948 ,237713 ,205694 ,211780 ,210686 ,207784 ,184783 ,152931 ,144409 ,144969 ,158665 ,154968 ,126589 ,115726 ,106969 ,527239 ,92822 ,81510 ,71705 ,61128 ,49064 ,39558 ,31095 ,23546 ,19579 ,15735 ,11691 ,8288 ,5773 ,4421 ,3663 ,2831 ,1816 ,1153 ,769 ,459 ,638 
2018,female,161187 ,187682 ,208285 ,215266 ,214737 ,226548 ,234883 ,230414 ,223211 ,222253 ,234007 ,228802 ,213508 ,219017 ,232404 ,236437 ,251853 ,286034 ,300032 ,299964 ,313090 ,322672 ,327499 ,331623 ,330946 ,335336 ,336439 ,315449 ,299734 ,298895 ,298350 ,299872 ,307677 ,317890 ,342044 ,381931 ,404238 ,407580 ,407003 ,376476 ,365254 ,376715 ,378597 ,401891 ,427997 ,435839 ,443829 ,450788 ,448621 ,453411 ,442124 ,406836 ,401000 ,411046 ,393133 ,403289 ,437442 ,453535 ,439095 ,400931 ,379497 ,361173 ,353403 ,332552 ,284101 ,279743 ,254027 ,221751 ,230503 ,231024 ,232517 ,210321 ,176838 ,175527 ,184091 ,206115 ,207047 ,177178 ,169248 ,162853 ,1116850 ,148187 ,137457 ,129234 ,117595 ,100936 ,87947 ,75375 ,64233 ,56189 ,47218 ,38642 ,29158 ,21770 ,16330 ,13326 ,11134 ,7590 ,4933 ,3254 ,2103 ,4245 
